No,Istilah,Definisi
939,opini,"pernyataan profesional adalah kesimpulan pemeriksa mengenai tingkat kewajaran informasi yang disajikan dalam laporan keuangan; Pernyataan atau pendapat professional yang merupakan kesimpulan pemeriksa mengenai tingkat kewajaran informasi yang disajikan dalam laporan keuangan yang didasarkan pada kriteria (1) kesesuaian dengan Standar Akuntansi Pemerintahan, (2) kecukupan pengungkapan (Adequate Disclosures), (3) kepatuhan terhadap peraturan perundang-undangan, dan (4) efektivitas Sistem Pengendalian Intern."
940,opini pernyataan menolak memberikan opini (disclaimer of opinion),"Pemeriksa tidak menyatakan pendapat atas laporan keuangan, karena bukti pemeriksaan tidak cukup untuk membuat kesimpulan."
941,opini tidak wajar (adversed opinion),"pendapat tidak wajar menyatakan bahwa laporan keuangan entitas yang diperiksa tidak menyajikan secara wajar posisi keuangan, hasil usaha, dan arus kas entitas tertentu sesuai dengan prinsip akuntansi yang berlaku umum di Indonesia."
942,opini wajar dengan pengecualian (qualified opinion),"pendapat wajar dengan pengecualian menyatakan bahwa laporan keuangan entitas yang diperiksa menyajikan secara wajar: dalam semua hal yang material, posisi keuangan, hasil usaha, dan arus kas entitas tersebut sesuai dengan prinsip akuntansi yang berlaku umum di Indonesia, kecuali untuk hal-hal yang dikecualikan."
943,opini wajar tanpa pengecualian (unqualified opinion),"pendapat wajar tanpa pengecualian menyatakan bahwa laporan keuangan entitas yang diperikasa menyajikan secara wajar : dalam semua hal yang material, posisi keuangan, hasil usaha, dan arus kas entitas tersebut sesuai dengan prinsip akuntansi yang berlaku umum di Indonesia."
944,opportunity cost,biaya peluang.
945,option contract/kontrak dengan hak opsi,suatu kontrak pertukaran mata uang asing dalam hal mana waktu atau tanggal penyelesaian atau pelaksanaan kontraknya diserahkan pada pilihan pihak pembeli dalam kurun waktu yang telah disepakati bersama.
946,option/opsi,"hak pilih yang dimiliki oleh salah satu pihak dalam suatu perjanjian untuk misalnya membeli, memiliki, menjual atau menyewa suatu benda dengan persyaratan tertentu dan dalam batas waktu tertentu; apabila persyaratan dan batas waktu tersebut tidak terpenuhi, maka yang terjadi adalah hal yang sebaliknya; dalam hukum perseroan berarti hak pemegang saham untuk membeli atau menjual saham."
947,optional bond/obligasi opsional,obligasi yang dapat diminta pembayarannya dari pihak emitennya setiap saat.
948,optional deviden/deviden opsional,deviden yang pembayarannya dapat diminta dalam bentuk uang tunai atau saham.
949,order bill of lading/surat muatan order/konosemen order,konosemen yang menyebutkan nama penerima barang dengan atau tanpa klausul kepada order; konosemen semacam ini dialihkan dengan cara endosemen.
950,order cheque/cek order,cek yang memuat nama penerima pembayaran dengan atau tanpa klausul kepada order; cek ini dialihkan dengan cara endosemen.
951,order paper/surat order,"surat berharga yang memuat nama penerima dengan atau tanpa klausul kepada order, yang dialihkan dengan cara endosemen."
952,order/perintah/amanat,"perintah untuk mengalihkan, menjual, menerima atau membeli barang atau jasa; petunjuk kepada siapa suatu surat berharga harus dibayarkan."
953,ordering bank,bank pelaksana.
954,ordering bank identifier type,kode jenis transaksi.
955,ordinary interest/bunga biasa,bunga tak berbunga yang dihitung atas dasar 360 hari setahun dengan rumus tertentu.
956,ordonatir/ordonateur,pejabat yang mengeluarkan surat perintah membayar uang atas beban kantor bendahara.
957,originating bank,bank penerima transaksi.
958,originators bank,bank pemrakarsa.
959,out bills of collection; bills remitted,wesel tagih keluar.
960,out of court settlement/penyelesaian di luar pengadilan,penyelesaian sengketa secara damai yang dilakukan di luar pengadilan dan dituangkan dalam suatu bentuk perjanjian.
961,out of money,di luar harga.
962,out of pocket expenses,biaya talangan.
963,out of town cheque,cek luar kota.
964,outcome,tujuan atau sasaran yang akan dicapai melalui output.
965,output,"barang-barang yang diproduksi, jasa yang diserahkan/diberikan, atau hasil-hasil lain dari proses atas input."
966,outstanding,saldo.
967,over the counter,saham luar bursa.
968,over the counter market/pasar luar bursa/bursa paralel,perdagangan sekuritas di luar bursa efek dan tidak memenuhi peraturan yang berlaku di bursa.
969,overdraft/cerukan/penarikan dana berlebih,"penarikan cek, rekening giro atau rekening pinjaman melampaui batas tariknya atau melampaui jumlah dana yang dimiliki si penarik; pemesanan barang dalam jumlah melebihi batas yang telah ditetapkan atau dialokasikan."
970,overdue/lewat jatuh tempo,kewajiban pembayaran suatu utang yang belum dipenuhi pada saat tanggal jatuh temponya telah terlewat.
971,overissue,emisi lebih.
972,overstated ‘lebih saji’,penyajian saldo yang lebih besar dari seharusnya.
973,own cheque,cek sendiri.
974,own risk; retention,risiko sendiri.
975,ownership,kepemilikan.
976,ownership risk,risiko kepemilikan.
977,pacta sunt servanda,suatu asas hukum yang menentukan bahwa suatu perjanjian yang dibuat secara sah menjadi undang-undang bagi yang membuatnya.
978,pagu harga/price ceiling,penetapan harga di bawah harga keseimbangan pasar yang menyebabkan harga tidak mungkin.
979,pagu kredit/credit ceiling,batas maksimum kredit yang dapat disediakan bank kepada nasabah.
980,"pagu/ceiling, cap","batas tertinggi atas sesuatu, seperti batas tertinggi pemberian kredit, penetapan bunga deposito dan batas harga nilai tukar mata uang asing."
981,paid up capital/modal disetor,bagian dari modal ditempatkan yang telah disetor oleh pemiliknya.
982,pailit - kepailitan/bankruptcy,kondisi seorang debitur mempunyai dua atau lebih kreditur dan tidak dapat membayar sedikitnya satu utang yang telah jatuh tempo dan dapat ditagih pembayarannya.
983,pailit/bankrupt,"debitur yang mempunyai dua atau lebih kreditur dan tidak membayar sedikitnya satu utang yang telah jatuh tempo dan dapat ditagih, dinyatakan pailit dengan putusan pengadilan yang berwenang, baik atas permohonannya sendiri maupun atas permintaan seorang atau lebih krediturnya; apabila debitur merupakan bank, permohonan pernyataan pailit hanya dapat diajukan oleh Bank Indonesia."
984,pajak langsung/direct tax,pajak yang dikenakan secara berkala terhadap orang atau badan sesuai dengan surat ketetapan pajak; pajak ini harus dipikul sendiri oleh wajib pajak.
985,pajak penghasilan/income tax,pajak yang dikenakan terhadap subjek pajak atas pendapatan yang diterima atau diperolehnya dalam tahun pajak.
986,pajak penjualan/sales tax,pajak tidak langsung yang dikenakan oleh pengusaha atas penyerahan barang oleh pabrik atau atas barang-barang impor.
987,pajak perseroan/corporation tax,"pajak yang harus dibayar oleh perusahaan, dikenakan atas laba yang diperoleh menurut ketentuan undang-undang."
988,pajak proporsional/proportional tax,kewajiban membayar pajak yang ditetapkan secara proporsional dengan pendapatan yang diterima.
989,pajak tak langsung/indirect tax,"pajak yang dikenakan atas surat tanda bukti, perbuatan, atau peristiwa; pajak ini dipungut tanpa surat ketetapan pajak."
990,pajak/tax,"iuran wajib kepada negara berdasarkan undang-undang untuk membiayai belanja negara, dan sebagai alat untuk mengatur kesejahteraan serta perekonomian."
991,pand,gadai.
992,pand beslag,sita gadai.
993,par value,nilai pari.
994,parate executie,eksekusi langsung.
995,parent company,induk perusahaan.
996,paripasu,"sesuatu yang mempunyai fungsi, nilai, ataupun hal-hal lain yang diberlakukan sama sesuai dengan kesepakatan yang telah ditentukan dan/atau dibuat sebelumnya."
997,paritas/parity,perbandingan nilai antara suatu komoditas dan komoditas lain atau perbandingan nilai mata uang suatu negara dengan mata uang negara lain.
998,parity,paritas.
999,parol contract,janji - perjanjian lisan.
1000,pasar - pemasaran/marketing,"kegiatan yang mempercepat perpindahan barang dan jasa dari sentra produsen ke sentra konsumen, yaitu semua yang berkaitan dengan iklan, distribusi, perdagangan, rencana produk, promosi, publisitas, penelitian dan pengembangan, penjualan, pengangkutan, serta penyimpanan barang, dan jasa."
1001,pasar bebas/free market,"kondisi pasar yang memberikan kebebasan bagi masyarakat untuk membeli dan menjual barang, yang harga penjualan dan pembeliannya ditentukan oleh penawaran dan permintaan."
1002,pasar keuangan/financial market,pasar uang dan pasar modal dalam suatu sistem keuangan; pasar uang mempunyai kegiatan berupa pembelian dan penjualan instrumen kredit dengan jangka waktu yang pendek/kurang dari satu tahun; pasar modal mempunyai kegiatan berupa pembelian dan penjualan instrumen kredit dengan jangka waktu yang panjang (lebih dari satu tahun) dan instrumen modal.
1003,pasar modal/capital market,pasar yang merupakan sarana bagi perusahaan dan pemerintah untuk memperoleh dana jangka panjang dengan cara menjual saham atau obligasi.
1004,pasar terbuka/open market,kondisi pasar yang pembentukan harganya terjadi semata-mata atas dasar persaingan bebas tanpa adanya batasan dari pembeli ataupun penjual.
1005,pasiva lancar/current habilifies,utang atau kewajiban lain yang harus diselesaikan dalam waktu tidak melebihi jangka waktu satu tahun.
1006,past due,lewat jatuh tempo.
1007,patent/paten/hak paten,hak khusus yang diberikan negara kepada penemu atas hasil temuannya di bidang teknologi untuk selama waktu tertentu melaksanakan sendiri penemuannya tersebut atau memberikan persetujuannya kepada orang lain untuk melaksanakannya [vide: UU No. 6/1989).
1008,paying agent,agen pembayar.
1009,paying bank,bank pembayar surat kredit berdokumen.
1010,paying teller,teller pembayar.
1011,payment caps,pagu pembayaran.
1012,payment document,dokumen pembayaran.
1013,payment due date,jatuh tempo pembayaran.
1014,payment for honor,bayar - pembayaran penyelesaian.
1015,payment order,perintah bayar.
1016,payment service,layanan pembayaran.
1017,payment surplus,surplus pembayaran.
1018,payment system,sistem pembayaran.
1019,payment system risk,risiko sistem pembayaran.
1020,payment under reserve,bayar - pembayaran bersyarat.
1021,payroll,daftar upah.
1022,pedoman akuntansi perbankan indonesia (PAPI),petunjuk pelaksananaan perlakuan akuntansi dan penyajian laporan keuangan bank.
1023,pegang - pemegang saham mayoritas/majority stockholders,"pemegang saham yang mempunyai kepentingan mengawasi suatu perusahaan; kepemilikan lebih dari 50% saham perlu untuk tujuan ini, tetapi dalam perusahaan yang telah masuk bursa (go public), suara terbanyak dapat diperoleh dengan menggabungkan pemegang saham minoritas sehingga mencapai lebih dari 50%."
1024,pegang - pemegang saham semu/dummy stockholder,pemilik saham yang bukan pemilik saham sesungguhnya.
1025,pegang - pemegang saham utama/principle stockholder,pemegang saham yang memiliki mayoritas saham dari suatu perusahaan; lihat pemegang saham mayoritas.
1026,pegged exchange rates,patokan kurs devisa.
1027,pejabat lain,"pejabat negara dan pejabat penyelenggara pemerintahan yang tidak berstatus sebagai pejabat negara [vide: UU No. 15/2006, Pasal 10 ayat (3) huruf a]."
1028,pejabat pelaksana teknis kegiatan (PPTK),pejabat pada unit kerja SKPD yang melaksanakan satu atau beberapa kegiatan dari suatu program sesuai dengan bidang tugasnya.
1029,pejabat penatausahaan keuangan SKPD (PPK-SKPD),pejabat yang melaksanakan fungsi tata usaha keuangan pada SKPD.
1030,pejabat pengelola keuangan daerah (PPKD),1. kepala badan/dinas/biro keuangan/bagian keuangan yang mempunyai tugas melaksanakan pengelolaan APBD dan bertindak sebagai Bendahara Umum Daerah; 2. kepala satuan kerja pengelola keuangan daerah yang selanjutnya disebut dengan. kepala SKPKD yang mempunyai tugas melaksanakan pengelolaan APBD dan bertindak sebagai bendahara umum daerah.
1031,pejabat yang diperiksa dan/atau yang bertanggung jawab,satu orang atau lebih yang diserahi tugas untuk mengelola keuangan negara.
1032,pemahalan (mark up),proses menaikkan harga dari semestinya.
1033,pemanggilan,"tindakan terakhir yang dilakukan oleh BPK untuk menghadirkan seseorang setelah upaya dalam rangka memperoleh, melengkapi, dan/atau meyakini informasi yang dibutuhkan dalam kaitan dengan pemeriksaan tidak berhasil."
1034,pemantauan tindak lanjut atas rekomendasi hasil pemeriksaan,rangkaian kegiatan yang dilaksanakan secara sistematis oleh BPK untuk menentukan bahwa pejabat telah melaksanakan rekomendasi hasil pemeriksaan dalam tenggang waktu yang telah ditentukan oleh undang-undang [vide: Peraturan BPK No. 2 /2010 Pasal angka 7].
1035,pemantauan tindak lanjut hasil pemeriksaan,kegiatan untuk memastikan bahwa saran dan rekomendasi BPK RI yang dimuat dalam hasil pemeriksaan telah dilaksanakan secara memadai dan tepat waktu oleh entitas yang diperiksa.
1036,pembiayaan,"setiap penerimaan yang perlu dibayar kembali dan/atau pengeluaran yang akan diterima kembali, baik pada tahun anggaran yang bersangkutan maupun tahun-tahun anggaran berikutnya, yang dalam penganggaran pemerintah terutama dimaksudkan untuk menutup defisit atau memanfaatkan surplus anggaran."
1037,pembiayaan daerah,"semua penerimaan yang perlu dibayar kembali dan/atau pengeluaran yang akan diterima kembali, baik pada tahun anggaran yang bersangkutan maupun pada tahun-tahun anggaran berikutnya."
1038,pemborosan,pengeluaran yang melampaui dari yang seharusnya.
1039,pembuktian,cara membuktikan kesalahan terdakwa berdasarkan alat bukti yang ditentukan oleh undang-undang.
1040,pemeriksa dan/atau tenaga ahli dalam bidang tertentu dari luar BPK,"pemeriksa di lingkungan aparat pengawasan intern pemerintah, pemeriksa, dan/atau tenaga ahli lain yang memenuhi persyaratan yang ditentukan oleh BPK."
1041,pemeriksa di lingkungan aparat pengawasan intern pemerintah,"orang yang ditugaskan pimpinan instansinya untuk membantu BPK melaksanakan tugas pemeriksaan pengelolaan dan tanggung jawab keuangan negara untuk dan atas nama BPK [vide: Peraturan BPK No. 1/2008, Pasal 1 angka 4]."
1042,pemeriksa keuangan negara,orang yang melaksanakan tugas pemeriksaan pengelolaan tanggung jawab keuangan negara untuk dan atas nama BPK.
1043,pemeriksaan,"proses identifikasi masalah, analisis, dan evaluasi yang dilakukan secara independen, objektif, dan profesional berdasarkan standar pemeriksaan, untuk menilai kebenaran, kecermatan, kredibilitas, dan keandalan informasi mengenai pengelolaan dan tanggung jawab keuangan negara."
1044,pemeriksaan atas hal yang berkaitan dengan keuangan,pemeriksaan atas pos-pos tertentu dalam laporan keuangan yang bertujuan untuk menguji ketertiban dan kepatuhan kepada peraturan perundang-undangan yang berlaku.
1045,pemeriksaan dengan tujuan tertentu,"pemeriksaan yang dilakukan dengan tujuan tertentu, diluar pemeriksaan keuangan dan pemeriksaan kinerja. termasuk dalam pemeriksaan tujuan tertentu adalah pemeriksaan atas hal-hal lain yang berkaitan dengan keuangan, pemeriksaan investigative, dan pemeriksaan atas sistem pengendalian intern (SPI)."
